customer_id,age,gender,signup_date,purchase_amount
a3a57fde-cfda-488a-9c30-166aa05d1cf5,56.0,Other,2024-03-31,537.29
06225699-6847-49a1-82d9-7d8c5fcac5ca,69.0,,2024-11-12,250.05
402b8ce3-8f65-4cc2-99b9-66029c4588f5,,Male,2025-04-25,276.55
5a7eda8f-6cb3-4054-809d-388c494147d3,32.0,Other,2023-12-29,383.51
98d2c5d8-9d9a-4fd3-872a-257d73dfcec3,60.0,Female,2025-03-07,29.87
a0756c84-d80e-43ce-a148-935bcc59e149,25.0,Male,2025-10-25,328.86
4113716b-d4dd-4839-ab75-e370e4608013,38.0,Male,2025-08-24,219.33
f4c69f6e-f7c0-4c7d-b2bf-1d3e471dcd60,56.0,Male,2025-08-03,334.22
cced2cbc-f058-44d6-af75-c759211b63b9,36.0,Other,2024-08-31,128.56
7187a69a-a808-44ea-931c-4386a9b375d5,40.0,Male,2024-03-21,891.62
250d8a3f-b225-41e7-aa23-a0253f25d7c7,28.0,Other,2024-10-15,597.66
234c7048-0cfd-427b-8cc5-2b30461d5a68,28.0,Other,2024-08-28,682.31
c4200f2b-475b-49eb-b37f-a047abb5368c,41.0,Other,2025-02-26,791.28
5d1ac1ed-a19e-445c-98e7-c4ac08d642d1,53.0,Male,2025-07-05,503.46
53a9ddef-5ba1-4c93-ad48-00bf8f324dd3,57.0,Other,2024-01-14,96.05
ac9f7954-fb58-4e65-a7cc-3f86fe1f9c06,41.0,Female,2025-04-27,541.74
1384facc-b3d6-4da7-a30d-35152e6d4142,20.0,Male,2025-07-13,590.97
9d140201-736b-4f7d-ab31-531a4d24064c,39.0,Male,2025-05-02,747.99
6cbe4abf-860b-4084-88aa-7d2790020094,19.0,Male,2025-11-30,437.34
43a70bf0-1fca-4238-9704-0e9cb3cfc5e8,41.0,Male,2023-12-06,136.3
60e06427-6b28-4de0-a09f-9cadb4f78a12,61.0,Male,2024-09-04,290.94
3319ac56-4237-4815-bf90-87480c02ebe0,47.0,Other,2024-12-29,369.45
6d7f5618-dbf7-4f8d-8c97-dde70ec15e85,55.0,Other,2025-03-06,649.46
3220a1b4-74c9-478d-8424-ad87539b3e6b,,Male,,575.07
4561eaa3-364c-472f-bab4-89a4e10cf7b3,38.0,Other,2024-03-17,362.54
3ea6c6fc-1ded-44ae-969b-903607cf5357,50.0,Male,2024-03-02,986.65
8626d684-ce90-4855-b354-9c3bf4e9fddb,29.0,Other,2025-04-16,609.72
9f0284de-ef99-498e-84e0-e533018c7abd,39.0,Other,2024-09-12,244.85
0d736b63-11f3-4ec2-bf5a-c3211c3dafa9,61.0,Other,2024-07-26,110.76
8b097228-fd43-4773-984e-7c53b34c0b5d,42.0,Other,2024-02-25,161.33
088b8f54-1b60-41cc-a156-6da4b7ed95ac,66.0,Female,2024-09-23,253.5
280ca6b7-9ceb-45e0-a67b-47544eae4eb0,44.0,Male,2024-05-10,169.07
804b0d23-22be-4914-a40d-7c7f9975403e,59.0,Female,2024-04-01,194.7
3f1744fa-d0f8-47a7-b196-f7e719783a53,45.0,Other,,292.24
e8e35d35-4202-4bb6-95e6-0b8923b4c6db,33.0,Female,,181.64
f14773e8-0d1d-431a-9313-9c22be74c80c,32.0,Male,2024-11-22,897.8
2cb84c9b-5a89-48be-955a-881dec466d0b,,,,
cb4408d8-914a-436d-9cd7-b05490a6c643,68.0,Other,2024-02-22,529.27
56b7c8c8-42f9-4d41-bbf3-4731c14fd15a,61.0,Female,2024-10-25,416.29
8890301e-6dd6-48d8-8fa5-423d58a89ec4,69.0,Female,2025-02-01,
756b49bc-ad3e-4ac2-a107-2dcaf014db78,20.0,Female,2025-11-05,120.92
0df8b479-3887-4999-9783-3adea9eccc17,54.0,,2024-01-06,403.88
3b5318a7-9956-4e7c-b037-36f3344ec080,68.0,Male,2024-08-07,969.78
9f9a3d60-a6ef-4790-827f-08ab7ac8ff13,24.0,Female,2024-07-07,866.85
3ff87187-a6d8-4c49-9e84-39c7d72d95c6,38.0,Male,2025-07-02,818.9
0fef1ba3-42cf-4cc4-bb48-981749028ea2,26.0,Male,2025-01-28,265.32
826b8651-adc1-4197-b118-3e64a3f93c73,56.0,Female,2024-07-08,179.18
e5582764-29a3-48f2-bea9-6c6ffcf9a0ec,35.0,Male,2024-11-24,671.96
044acd10-adfe-4fc0-a44e-3ce93e404d59,21.0,Female,2025-02-06,
538c79d2-2d87-4fc7-9195-cb42f9e01739,42.0,Female,2024-10-14,561.2
4616df7e-f2c7-42ec-9b6f-d1191a2c0d2d,31.0,Other,2024-10-19,575.9
3b95d8ef-2ad4-4384-8d83-253af97e3228,67.0,Female,2024-08-01,287.18
868c0686-51b0-4308-9f45-bc7915c79ea4,26.0,Male,2024-02-07,771.8
a0019487-d182-40f2-b173-9ca863d2efe0,43.0,Other,2024-06-15,195.17
1e6c5bbc-11f5-45fc-a9a3-600a5ea59b5b,19.0,Female,2025-03-12,330.44
abb4b5e2-b0b9-4ddb-9478-55b980c3aebb,37.0,Other,2024-12-21,431.18
4fa4f6b5-1b07-4d60-8d10-608e29fbdb5c,45.0,Male,2024-05-10,512.53
a54dbe6d-0233-42ef-ba8c-62bbdae058e5,64.0,Female,2025-04-18,249.99
5a95d675-546a-466f-ba25-7825f9916541,24.0,Male,2025-04-09,123.69
1b7ebbfe-db58-46ed-8f7f-f9484619f58d,61.0,,2024-05-14,614.51
e9f82f8a-5971-401a-a6e5-42ed4b964556,25.0,Female,2025-04-02,
a38805f9-29a3-4edd-9977-004994a10c51,64.0,Other,2025-06-26,585.43
2163cba1-ff33-4c26-ac9a-d40fa0848927,52.0,Other,2024-03-18,162.82
f100c60e-416c-4200-9264-471e9b0a0d91,31.0,Female,2025-04-12,486.33
2428bae5-6e30-4816-8595-5cca2a70f19b,34.0,Other,2024-06-23,537.26
105a5d3f-3ee9-40a1-a803-6708abbb4b95,53.0,Male,,61.31
9ec9a72a-868d-4a60-9d6c-a2b868fbf4d7,67.0,Other,,343.24
12752d76-0ed4-4447-913c-6fe6ca4b968e,57.0,Male,2025-01-28,143.07
a826ee55-6074-4030-a152-852e9a01b01d,21.0,Male,2025-03-16,72.74
210ba54c-b5be-43b4-8b30-18cc7b8e2eba,19.0,Other,2025-05-21,990.06
1b28ffef-fc2b-4b32-870e-84f7474b345b,23.0,Male,2025-06-07,329.13
e683a359-e634-4ae4-a992-24d40de3279a,59.0,,2024-01-17,811.78
b306d7d9-70ca-46cf-9a46-d9b21db3194f,21.0,Male,2025-06-05,262.09
6fece8bd-0e0a-4255-a051-505ab22b6b74,46.0,Male,2025-01-05,684.69
0b87daad-87a3-413e-b00c-9e7d6d67b750,35.0,Male,2025-03-26,762.63
50189c09-f4a1-4c1a-85b2-6a06d6ef6388,43.0,Female,2024-03-23,599.68
ec9f59db-ce0b-4883-a004-e456de80f6e4,61.0,Female,2025-09-07,476.86
cc826ac6-d84e-462d-b844-760e0f14c248,51.0,Female,,417.72
39b23439-6f41-4034-9c42-a0ed9ce9584a,27.0,Other,2025-04-22,355.38
75102041-cc5c-4375-83f2-950e7462755e,53.0,,,
255a7d89-af37-436b-8efa-76682793be08,31.0,Male,2024-12-18,832.31
18aae6b3-f185-49ef-914c-68d032757d65,48.0,Female,2024-06-10,965.38
76d1ce27-6ab0-4177-8c15-6ffea6fee7d1,65.0,Female,2025-08-15,133.05
6cf38f06-1655-4061-a352-98460b3b6607,32.0,Male,2025-01-28,733.56
7cb3884e-d55c-402a-a3fc-e2386711dc82,25.0,Other,2025-04-27,938.96
b8996e29-210b-438b-ac11-090ce1b78591,31.0,Female,2024-01-10,189.42
0c28bcfb-1dd3-4576-96b8-d617e1b38b8f,40.0,Other,2023-12-04,75.83
ed7b22ec-2b50-4af6-8eff-5493bb0dac36,57.0,Other,2025-02-14,743.71
f90b6b7f-19a5-42eb-a9e4-7532414fc38f,38.0,Other,2024-10-23,578.73
fd7fed71-514f-42fb-b5f5-c7786dd4b2dd,33.0,Male,2025-11-21,843.41
351415ac-43ca-473b-b1a5-2b7b89f8c313,62.0,Other,2025-02-01,148.37
954b7cad-b378-43ef-b57e-aff7916a7709,35.0,Other,2025-03-04,797.31
4756ad21-628a-44ba-97c4-e9f6c8b28d1d,64.0,Male,2024-03-30,209.61
615a5663-5e45-4495-8c64-e4216e55a544,41.0,Other,2025-09-15,172.02
6c71015b-3c69-4f34-97d3-6596cf83017f,43.0,Other,2024-06-27,172.62
137bbd10-914e-49cb-81ad-baad914deb29,42.0,Male,2025-04-04,816.43
f84ba5cf-10b7-41dd-97d7-056be967700a,62.0,,2025-07-20,668.55
b06aa742-f527-499f-a553-b5981fdee3c7,58.0,Female,2024-09-26,527.83
d50aae90-c9d0-4b86-97a6-e0ffb459c1c8,46.0,Female,2024-05-23,365.24
262a8a1b-273a-45ab-b771-1de54b393fa0,32.0,Female,2025-04-20,878.43
7274718b-435c-4d7b-a60c-709e15d78c50,62.0,Other,2024-08-25,398.52
9ca3c861-85f5-437a-afc7-b5bc0aefc876,18.0,Other,,818.43
3b37ea8a-d3ea-44be-b1d0-00c7f5de5698,,Other,2024-06-11,444.74
60c77454-be65-4c39-83f5-7910c48b149a,24.0,Male,2025-02-08,383.17
1f217e2b-d374-41b7-b447-3c9b2ac44f08,26.0,Other,2025-07-06,468.05
59b5ef33-c524-4590-a831-a60164fa3542,41.0,Female,2025-10-28,308.36
507ec02f-7f20-4fe2-a421-cf9e6d1f15f5,18.0,Male,2025-02-24,750.13
25a38ef0-f8e2-4360-8835-0241e6dcfd7d,61.0,Male,2024-09-12,507.69
98cd220f-a8d5-4b46-b386-ee6952ea9ba9,25.0,Male,2025-04-26,239.89
3c6c7fed-906a-40bb-b2f7-bd65032ee411,41.0,,2025-06-21,900.58
c715f4ae-2831-4e95-994d-10afdf6a7447,28.0,Female,2025-03-26,390.05
7b2439a3-9e1b-4b3c-bed5-867ee3839fb3,68.0,Female,2023-12-12,548.12
7e165a0f-ef06-453e-9256-badf68b7c357,34.0,Male,2024-07-17,907.41
a3d4a110-83cd-456c-8d77-2050c4488d19,25.0,Male,2024-11-02,
f2c32b54-a3b3-4f66-afed-83d41189a029,52.0,Other,2024-09-28,125.73
e7d69fb9-6cf6-4ad9-a1db-e9a4961b4bc1,52.0,Other,2025-10-01,940.43
66f5f788-3eb8-4e9f-9f7f-8cf041adb30a,50.0,Female,,631.43
87d08b47-dfe9-45ca-883a-2afcb234503e,22.0,Male,2025-06-05,341.56
668b7bcf-b6bc-4c9b-9692-666fc0f5ca34,59.0,Other,2025-02-07,147.88
29c28733-daaa-42f8-a52b-69ae2d332220,56.0,Female,2025-10-29,796.08
025620d7-3150-499d-82d1-22a664a9db2e,58.0,,2025-10-01,623.87
4c7f937a-f2bf-4340-8f8d-d43fe6e298d6,45.0,Other,2024-03-02,538.13
c5ee8f56-cab3-4ded-a016-27f8fce3b6a7,,Female,2023-12-22,894.95
6b7dec55-fa36-4351-838a-1bc2245c63e4,26.0,Male,2024-02-17,790.71
d3728501-c651-4cad-a034-458a168546cc,25.0,Female,2024-07-07,160.16
028ece40-8a0f-4d2b-9915-8ab1d52b7b00,29.0,Male,2024-02-15,
3ef2adb8-5a04-42ef-be35-7179b591189a,51.0,Male,2025-05-14,256.0
f28b6ec8-05cd-4648-9064-27b606881491,50.0,Other,2024-12-04,746.51
20853f26-0938-4835-b7bd-f6feec9e6fd8,65.0,Other,2024-09-26,43.2
2f515812-4088-4ba3-8f2e-732c410410a2,40.0,,2025-06-20,574.19
86c65ea1-b70a-4968-ba36-71f7cae2bd62,41.0,,2024-07-09,764.83
4f6a9487-1bdc-4046-be4a-86d4d2ba7b39,54.0,Other,2025-05-02,878.0
c5d5fef8-e28f-4a30-a092-7ea003f5342c,52.0,Other,2025-09-28,348.66
ee251d2c-7e9d-4a2b-9562-b71ad5e15c3d,61.0,Female,2025-05-19,823.04
62736e18-ddd9-4557-840e-1f98914d1332,57.0,Other,2024-08-13,119.53
6568a196-ee75-4508-a42b-55b0794322d9,39.0,Female,2025-03-16,847.99
acbafdde-bc5b-4a74-929e-a1921633f49b,44.0,Female,2024-10-15,136.21
38f71e69-6be0-4d89-8dc6-432f9b294551,52.0,Male,2025-02-23,403.31
4c172349-bc9c-41e1-8842-10bb7def66ba,18.0,Male,2024-09-18,799.32
c22407cf-4c97-47e6-ba28-541df1b7ba6d,52.0,Other,2025-06-28,158.42
1f3b44c8-becc-48b5-9bcd-30f5bc22b812,54.0,Female,2025-06-27,236.96
880fe50d-073a-4c12-86b4-2e8ab8e9f8f9,64.0,Male,2024-04-10,725.03
b9b63c71-c5e7-4542-a943-b21222bb517b,31.0,Male,2024-01-12,722.84
f6e7b2b9-7157-4001-aba6-c4d3023b57b3,20.0,Male,2024-06-30,644.74
1eeab114-3ad1-4918-87eb-6254da5cbe08,18.0,Male,2024-01-07,697.01
dd37a164-0a54-4f62-86d9-ed39bfb2f29b,22.0,Other,2024-03-04,547.3
abe1f010-a648-4af8-8e53-c69ca59a8bca,43.0,Male,2025-03-13,259.28
a9cd06d0-dec1-4e89-a786-ee3d08b091ae,31.0,Other,2024-04-18,352.24
81f1f768-03bc-4df4-9ff8-b464524a9c04,56.0,Female,2025-04-26,189.78
5526fd52-46f3-4be0-ae61-5480e972fdb4,44.0,Other,2025-02-07,909.37
0ea613a3-c72a-4a83-a23a-c00cc1266e35,26.0,,2025-03-07,587.56
528da6fc-3972-45d9-8bf1-b973bbb0a71f,32.0,Female,2024-02-20,406.84
9b1d4fb9-6e70-42a0-9a8b-b8053598777d,32.0,Female,2025-04-13,467.39
6dcf6514-3b71-47c0-afe7-5c18beede2e0,43.0,Other,2024-09-16,947.81
a999e2ae-c574-488b-a4b0-2f052cab5e12,59.0,Female,2024-06-14,161.82
9c6fa884-f4e8-48fb-9f4a-20688ac5b396,30.0,Other,2025-02-06,590.37
81111934-7e2a-4f09-a448-85c911206542,,Female,2024-05-23,510.83
9c419666-7b7e-4948-8edb-d3c2a53e9a4f,49.0,Other,2024-07-27,615.34
dd9963c1-1ca3-4b1c-959e-49647e0a38f9,56.0,Male,2024-08-13,27.93
8646357a-d6be-43e0-b5a2-59d9146b6875,66.0,Other,2025-03-01,873.4
c78da8b5-5b27-425a-9190-1b97b08d6255,69.0,Other,2025-10-13,932.8
962fe0fb-67b0-434a-8ffa-7d32a646e096,49.0,Male,2024-09-17,569.48
725d20ff-bc6a-4a5a-8811-71da2c9002bf,21.0,Other,2024-09-08,699.68
6a31e330-3ce8-4fe5-8d4e-7fb68ad208aa,47.0,Other,2025-03-19,923.27
da1a8f40-27be-4074-a75b-0da7d31b0e81,54.0,Female,2025-06-16,710.17
b550f140-8957-429d-bcd3-d133779759c4,40.0,Other,2023-12-21,161.01
6b887001-84c7-4d79-8abc-9470edf2bbfb,56.0,Female,2024-07-11,580.53
fa4b2fb1-49c5-4f97-adf1-730e9ba2491d,62.0,Male,2024-07-16,610.65
737ddcd7-d46e-45a0-8fae-4b461c63a9d6,32.0,Female,2024-06-24,429.89
991e8883-174b-43cd-a227-14abdd27b040,60.0,Female,2024-06-22,
1106318a-b923-426f-aa43-56f215f042c7,46.0,Male,2025-07-29,935.02
581bc96d-c7df-46a3-b4dc-4b6dc31e9692,53.0,Female,2024-12-11,926.31
feb12246-333f-4cd5-a656-e1114a2a2833,30.0,Male,2024-08-03,456.33
9e1fb937-0976-4fca-9753-01bfa7884ba6,49.0,Other,2025-11-24,122.11
0a63bd95-e8b4-491f-b625-7eba78e4580d,24.0,Other,2024-10-04,984.99
cdb9a055-26ce-4212-8099-4b771c0f0c26,68.0,Female,2025-01-23,840.51
a522a73c-eb62-491d-9c66-b05ed32b7ba2,39.0,Other,2024-03-29,133.42
f81289f9-3d51-4e17-9be5-a37ced025c04,45.0,Male,2025-06-10,921.63
f51af596-6e94-49ea-abca-3da5290c0a7e,19.0,Other,2024-06-15,871.2
